term_id,term
362-prefLabel,Church sermons and letters
363-prefLabel,Greek orthodox church
364-prefLabel,Jehovah's witnesses
365-prefLabel,Orthodox church
366-prefLabel,Protestant churches
367-prefLabel,Roman catholic church (institution)
368-altLabel,Christian resistance
368-prefLabel,Resistance to Nazi rule - christian
370-prefLabel,Citizenships
371-altLabel,Foreigners
371-prefLabel,Foreign citizens
372-prefLabel,Reichsdeutsche
373-prefLabel,Stateless people
374-altLabel,Citizenship revocation
374-prefLabel,Revocation of citizenship
375-altLabel,Public apparatus people
375-prefLabel,Civil servants
376-prefLabel,Civil rights
377-prefLabel,Ethnic groups
378-altLabel,Human rights organizations
378-prefLabel,Human rights organisations
379-prefLabel,Minorities
381-prefLabel,Jewish public service workers
383-prefLabel,Clergy
384-altLabel,Religious functionaries.Religious leaders
384-altLabel,Religious leaders. Religious functionaries
384-prefLabel,Religious leaders and functionaries
385-prefLabel,Popes
387-prefLabel,Clothings
388-prefLabel,Living conditions
389-prefLabel,Collaboration
390-prefLabel,Informers
391-prefLabel,Local population
392-prefLabel,Collaborators
393-prefLabel,Political collaboration
394-prefLabel,Gendarmes
395-prefLabel,Hilfswillige
396-altLabel,Puppet ruler and traitor to his people (Quisling)
396-prefLabel,Puppet rulers
397-prefLabel,Collection of documentation by jews after the war
398-prefLabel,Holocaust memory
399-prefLabel,She'erith hapletah
400-altLabel,Spreading of information regarding the Holocaust
400-prefLabel,Knowledge of the holocaust
401-prefLabel,Collection of documentation by jews during the holocaust
402-prefLabel,Underground archives
403-prefLabel,Collection of documentation by the Nazis
404-prefLabel,Nazi historiography
405-prefLabel,Nazi policies
406-prefLabel,Military campaigns
407-altLabel,Holocaust commemoration
407-prefLabel,Commemoration
408-prefLabel,Cultural activities
410-prefLabel,Commemoration institutions
411-altLabel,Commemoration organizations
411-prefLabel,Commemoration organisations
412-prefLabel,Memorial books
413-prefLabel,Memorial days
415-prefLabel,Construction companies
416-prefLabel,Insurance companies
417-prefLabel,Shipping companies
418-prefLabel,Travel agencies
419-prefLabel,Commissions
420-prefLabel,Political activities
421-altLabel,Commissions for the Investigation of Nazi War Crimes
421-prefLabel,Investigation commissions
423-prefLabel,Committees
424-prefLabel,Communism
425-altLabel,Communist movements and organizations
425-prefLabel,Communist movements and organisations
